Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,807.000000,816.000000,806.000000,813.599976,813.599976,61448
2023-01-03,808.599976,818.500000,808.599976,817.599976,817.599976,79644
2023-01-04,817.650024,820.549988,806.549988,811.400024,811.400024,68478
2023-01-05,820.150024,821.049988,804.000000,806.849976,806.849976,32501
2023-01-06,807.099976,812.000000,792.000000,796.599976,796.599976,36838
2023-01-09,804.950012,821.200012,801.299988,819.299988,819.299988,91259
2023-01-10,826.000000,826.000000,790.349976,792.849976,792.849976,91921
2023-01-11,778.950012,778.950012,752.000000,765.400024,765.400024,385788
2023-01-12,763.900024,769.150024,753.599976,756.849976,756.849976,105217
2023-01-13,758.349976,765.849976,752.400024,764.400024,764.400024,94014
2023-01-16,766.000000,768.000000,754.650024,758.900024,758.900024,143242
2023-01-17,758.950012,768.599976,758.900024,765.950012,765.950012,104174
2023-01-18,766.049988,779.500000,766.049988,776.849976,776.849976,97739
